stimuli,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_trial.keys,key_resp_trial.rt,date,frameRate,expName,session,participant,
stim/01_pa_hybrid_-50.wav,0,0,0,1,,,,,,,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/00_pa_hybrid_-60.wav,0,1,1,0,,,,,,,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/12_pa_hybrid_+60.wav,0,2,2,3,,,,,,,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/11_pa_hybrid_+50.wav,0,3,3,2,,,,,,,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/02_pa_hybrid_-40.wav,,,,,0,0,0,2,left,0.717727899551,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/07_pa_hybrid_+10.wav,,,,,0,1,1,7,right,0.801321983337,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/09_pa_hybrid_+30.wav,,,,,0,2,2,9,right,0.734877824783,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/05_pa_hybrid_-10.wav,,,,,0,3,3,5,left,0.651108026505,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/10_pa_hybrid_+40.wav,,,,,0,4,4,10,right,0.716032981873,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/08_pa_hybrid_+20.wav,,,,,0,5,5,8,right,0.785699129105,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/01_pa_hybrid_-50.wav,,,,,0,6,6,1,left,0.516763925552,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/06_pa_hybrid_+00.wav,,,,,0,7,7,6,left,0.667441129684,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/11_pa_hybrid_+50.wav,,,,,0,8,8,11,right,0.600795030594,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/04_pa_hybrid_-20.wav,,,,,0,9,9,4,left,0.634718179703,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/00_pa_hybrid_-60.wav,,,,,0,10,10,0,left,0.751245975494,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/12_pa_hybrid_+60.wav,,,,,0,11,11,12,right,0.600997209549,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/03_pa_hybrid_-30.wav,,,,,0,12,12,3,left,0.634622097015,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/07_pa_hybrid_+10.wav,,,,,1,0,13,7,right,1.25145292282,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/08_pa_hybrid_+20.wav,,,,,1,1,14,8,right,0.584514856339,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/02_pa_hybrid_-40.wav,,,,,1,2,15,2,left,0.484918117523,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/12_pa_hybrid_+60.wav,,,,,1,3,16,12,right,0.617219924927,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/04_pa_hybrid_-20.wav,,,,,1,4,17,4,left,0.650271892548,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/10_pa_hybrid_+40.wav,,,,,1,5,18,10,right,0.567761898041,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/09_pa_hybrid_+30.wav,,,,,1,6,19,9,right,0.650726795197,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/00_pa_hybrid_-60.wav,,,,,1,7,20,0,left,0.668494224548,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/05_pa_hybrid_-10.wav,,,,,1,8,21,5,left,1.01810288429,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/06_pa_hybrid_+00.wav,,,,,1,9,22,6,left,1.78433895111,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/11_pa_hybrid_+50.wav,,,,,1,10,23,11,right,0.867913961411,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/01_pa_hybrid_-50.wav,,,,,1,11,24,1,left,0.651007175446,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/03_pa_hybrid_-30.wav,,,,,1,12,25,3,left,1.10054206848,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/02_pa_hybrid_-40.wav,,,,,2,0,26,2,left,0.517605066299,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/03_pa_hybrid_-30.wav,,,,,2,1,27,3,left,0.61808681488,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/05_pa_hybrid_-10.wav,,,,,2,2,28,5,left,0.38458609581,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/01_pa_hybrid_-50.wav,,,,,2,3,29,1,left,0.467835903168,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/09_pa_hybrid_+30.wav,,,,,2,4,30,9,right,0.417787075043,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/00_pa_hybrid_-60.wav,,,,,2,5,31,0,left,0.516906023026,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/04_pa_hybrid_-20.wav,,,,,2,6,32,4,left,0.484510183334,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/10_pa_hybrid_+40.wav,,,,,2,7,33,10,right,0.484238862991,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/12_pa_hybrid_+60.wav,,,,,2,8,34,12,right,0.550307035446,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/07_pa_hybrid_+10.wav,,,,,2,9,35,7,right,0.396230220795,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/06_pa_hybrid_+00.wav,,,,,2,10,36,6,left,0.467883110046,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/11_pa_hybrid_+50.wav,,,,,2,11,37,11,right,0.666444063187,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/08_pa_hybrid_+20.wav,,,,,2,12,38,8,right,0.550443887711,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/07_pa_hybrid_+10.wav,,,,,3,0,39,7,right,1.11788916588,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/01_pa_hybrid_-50.wav,,,,,3,1,40,1,left,0.651057004929,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/12_pa_hybrid_+60.wav,,,,,3,2,41,12,right,0.633855819702,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/00_pa_hybrid_-60.wav,,,,,3,3,42,0,left,0.784510135651,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/06_pa_hybrid_+00.wav,,,,,3,4,43,6,right,0.634438037872,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/09_pa_hybrid_+30.wav,,,,,3,5,44,9,right,0.700947999954,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/10_pa_hybrid_+40.wav,,,,,3,6,45,10,right,0.467709064484,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/11_pa_hybrid_+50.wav,,,,,3,7,46,11,right,0.601758956909,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/04_pa_hybrid_-20.wav,,,,,3,8,47,4,left,0.601020097733,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/03_pa_hybrid_-30.wav,,,,,3,9,48,3,left,1.13524985313,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/08_pa_hybrid_+20.wav,,,,,3,10,49,8,right,0.568020105362,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/02_pa_hybrid_-40.wav,,,,,3,11,50,2,left,0.667982816696,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/05_pa_hybrid_-10.wav,,,,,3,12,51,5,left,0.600399971008,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/03_pa_hybrid_-30.wav,,,,,4,0,52,3,left,0.534490823746,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/12_pa_hybrid_+60.wav,,,,,4,1,53,12,right,0.816831111908,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/11_pa_hybrid_+50.wav,,,,,4,2,54,11,right,1.05069804192,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/08_pa_hybrid_+20.wav,,,,,4,3,55,8,right,0.985499858856,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/10_pa_hybrid_+40.wav,,,,,4,4,56,10,right,0.716012954712,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/05_pa_hybrid_-10.wav,,,,,4,5,57,5,left,0.767902851105,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/02_pa_hybrid_-40.wav,,,,,4,6,58,2,left,0.53450012207,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/00_pa_hybrid_-60.wav,,,,,4,7,59,0,left,0.617769002914,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/07_pa_hybrid_+10.wav,,,,,4,8,60,7,right,0.551168203354,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/06_pa_hybrid_+00.wav,,,,,4,9,61,6,right,1.167979002,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/04_pa_hybrid_-20.wav,,,,,4,10,62,4,left,0.450698852539,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/01_pa_hybrid_-50.wav,,,,,4,11,63,1,left,0.568542957306,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
stim/09_pa_hybrid_+30.wav,,,,,4,12,64,9,right,0.534924030304,2016_Feb_09_1301,60.2329585681,beat_2AFC,001,apa,
