stimuli,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_trial.keys,key_resp_trial.rt,date,frameRate,expName,session,participant,
stim/00_pa_hybrid_-60.wav,0,0,0,0,,,,,,,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/11_pa_hybrid_+50.wav,0,1,1,2,,,,,,,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/01_pa_hybrid_-50.wav,0,2,2,1,,,,,,,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/12_pa_hybrid_+60.wav,0,3,3,3,,,,,,,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/12_pa_hybrid_+60.wav,,,,,0,0,0,12,right,0.60280585289,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/07_pa_hybrid_+10.wav,,,,,0,1,1,7,right,0.368824958801,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/05_pa_hybrid_-10.wav,,,,,0,2,2,5,left,0.418692111969,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/08_pa_hybrid_+20.wav,,,,,0,3,3,8,right,0.351871967316,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/01_pa_hybrid_-50.wav,,,,,0,4,4,1,left,0.484947919846,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/06_pa_hybrid_+00.wav,,,,,0,5,5,6,right,0.252840995789,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/11_pa_hybrid_+50.wav,,,,,0,6,6,11,right,0.368902206421,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/09_pa_hybrid_+30.wav,,,,,0,7,7,9,right,0.48259305954,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/03_pa_hybrid_-30.wav,,,,,0,8,8,3,left,0.400897026062,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/02_pa_hybrid_-40.wav,,,,,0,9,9,2,left,0.36825299263,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/00_pa_hybrid_-60.wav,,,,,0,10,10,0,left,0.335729122162,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/10_pa_hybrid_+40.wav,,,,,0,11,11,10,right,0.335559844971,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/04_pa_hybrid_-20.wav,,,,,0,12,12,4,left,0.368911981583,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/08_pa_hybrid_+20.wav,,,,,1,0,13,8,right,0.436711072922,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/03_pa_hybrid_-30.wav,,,,,1,1,14,3,left,0.284304857254,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/10_pa_hybrid_+40.wav,,,,,1,2,15,10,right,0.417949914932,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/12_pa_hybrid_+60.wav,,,,,1,3,16,12,right,0.435549974442,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/04_pa_hybrid_-20.wav,,,,,1,4,17,4,left,0.368693828583,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/11_pa_hybrid_+50.wav,,,,,1,5,18,11,right,0.368562936783,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/02_pa_hybrid_-40.wav,,,,,1,6,19,2,left,0.31804394722,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/05_pa_hybrid_-10.wav,,,,,1,7,20,5,left,0.436550855637,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/01_pa_hybrid_-50.wav,,,,,1,8,21,1,left,0.334328889847,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/06_pa_hybrid_+00.wav,,,,,1,9,22,6,left,0.40135216713,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/07_pa_hybrid_+10.wav,,,,,1,10,23,7,right,0.451781988144,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/09_pa_hybrid_+30.wav,,,,,1,11,24,9,right,0.335419893265,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/00_pa_hybrid_-60.wav,,,,,1,12,25,0,left,0.418881893158,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/12_pa_hybrid_+60.wav,,,,,2,0,26,12,right,0.368860960007,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/11_pa_hybrid_+50.wav,,,,,2,1,27,11,right,0.4193110466,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/01_pa_hybrid_-50.wav,,,,,2,2,28,1,left,0.485346078873,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/06_pa_hybrid_+00.wav,,,,,2,3,29,6,left,0.535874128342,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/04_pa_hybrid_-20.wav,,,,,2,4,30,4,left,0.334743022919,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/00_pa_hybrid_-60.wav,,,,,2,5,31,0,left,0.301930904388,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/03_pa_hybrid_-30.wav,,,,,2,6,32,3,left,0.352802991867,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/02_pa_hybrid_-40.wav,,,,,2,7,33,2,left,0.352069854736,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/07_pa_hybrid_+10.wav,,,,,2,8,34,7,right,0.402020931244,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
stim/10_pa_hybrid_+40.wav,,,,,2,9,35,10,right,0.434985160828,2016_Feb_09_1306,59.7200168582,beat_2AFC,001,er,
