stimuli,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_trial.keys,key_resp_trial.rt,date,frameRate,expName,session,participant,
stim/12_pa_hybrid_+60.wav,0,0,0,3,,,,,,,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/01_pa_hybrid_-50.wav,0,1,1,1,,,,,,,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/11_pa_hybrid_+50.wav,0,2,2,2,,,,,,,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/00_pa_hybrid_-60.wav,0,3,3,0,,,,,,,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/03_pa_hybrid_-30.wav,,,,,0,0,0,3,left,0.634499788284,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/00_pa_hybrid_-60.wav,,,,,0,1,1,0,left,0.599420070648,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/08_pa_hybrid_+20.wav,,,,,0,2,2,8,right,0.451894044876,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/01_pa_hybrid_-50.wav,,,,,0,3,3,1,left,0.384261131287,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/04_pa_hybrid_-20.wav,,,,,0,4,4,4,left,0.451019048691,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/11_pa_hybrid_+50.wav,,,,,0,5,5,11,right,0.417906045914,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/02_pa_hybrid_-40.wav,,,,,0,6,6,2,left,0.350985050201,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/05_pa_hybrid_-10.wav,,,,,0,7,7,5,left,0.43438911438,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/07_pa_hybrid_+10.wav,,,,,0,8,8,7,right,0.384411096573,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/09_pa_hybrid_+30.wav,,,,,0,9,9,9,right,0.552220106125,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/12_pa_hybrid_+60.wav,,,,,0,10,10,12,right,0.500960111618,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/06_pa_hybrid_+00.wav,,,,,0,11,11,6,left,0.317645788193,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/10_pa_hybrid_+40.wav,,,,,0,12,12,10,right,0.601165056229,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/10_pa_hybrid_+40.wav,,,,,1,0,13,10,left,0.51759314537,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/08_pa_hybrid_+20.wav,,,,,1,1,14,8,right,0.434393167496,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/02_pa_hybrid_-40.wav,,,,,1,2,15,2,left,0.384299039841,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/01_pa_hybrid_-50.wav,,,,,1,3,16,1,left,0.517614841461,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/05_pa_hybrid_-10.wav,,,,,1,4,17,5,left,0.46866607666,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/06_pa_hybrid_+00.wav,,,,,1,5,18,6,left,0.367697954178,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/12_pa_hybrid_+60.wav,,,,,1,6,19,12,right,0.400441169739,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/11_pa_hybrid_+50.wav,,,,,1,7,20,11,right,0.416981935501,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/04_pa_hybrid_-20.wav,,,,,1,8,21,4,right,0.417798042297,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/07_pa_hybrid_+10.wav,,,,,1,9,22,7,right,0.717314004898,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/03_pa_hybrid_-30.wav,,,,,1,10,23,3,left,0.567831039429,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/00_pa_hybrid_-60.wav,,,,,1,11,24,0,left,0.484616041183,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/09_pa_hybrid_+30.wav,,,,,1,12,25,9,right,0.450807094574,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/02_pa_hybrid_-40.wav,,,,,2,0,26,2,left,0.417711019516,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/04_pa_hybrid_-20.wav,,,,,2,1,27,4,left,0.53440117836,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/07_pa_hybrid_+10.wav,,,,,2,2,28,7,right,0.683965921402,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/05_pa_hybrid_-10.wav,,,,,2,3,29,5,left,0.418268918991,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/08_pa_hybrid_+20.wav,,,,,2,4,30,8,right,0.333671808243,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/03_pa_hybrid_-30.wav,,,,,2,5,31,3,left,0.384389162064,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/11_pa_hybrid_+50.wav,,,,,2,6,32,11,right,0.467548847198,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/09_pa_hybrid_+30.wav,,,,,2,7,33,9,right,0.450726032257,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/00_pa_hybrid_-60.wav,,,,,2,8,34,0,left,0.333889007568,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/01_pa_hybrid_-50.wav,,,,,2,9,35,1,left,0.401561975479,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/12_pa_hybrid_+60.wav,,,,,2,10,36,12,right,0.417908906937,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/06_pa_hybrid_+00.wav,,,,,2,11,37,6,left,0.45107793808,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/10_pa_hybrid_+40.wav,,,,,2,12,38,10,right,0.551022052765,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
stim/05_pa_hybrid_-10.wav,,,,,3,0,39,5,left,0.301218032837,2016_Feb_09_1258,59.9955085302,beat_2AFC,001,kv,
