stimuli,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_trial.keys,key_resp_trial.rt,date,frameRate,expName,session,participant,
stim/00_pa_hybrid_-60.wav,0,0,0,0,,,,,,,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/12_pa_hybrid_+60.wav,0,1,1,3,,,,,,,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/01_pa_hybrid_-50.wav,0,2,2,1,,,,,,,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/11_pa_hybrid_+50.wav,0,3,3,2,,,,,,,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/01_pa_hybrid_-50.wav,,,,,0,0,0,1,left,2.38418912888,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/00_pa_hybrid_-60.wav,,,,,0,1,1,0,left,0.751269102097,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/09_pa_hybrid_+30.wav,,,,,0,2,2,9,right,0.401412010193,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/11_pa_hybrid_+50.wav,,,,,0,3,3,11,right,0.566326856613,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/10_pa_hybrid_+40.wav,,,,,0,4,4,10,right,0.434434890747,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/02_pa_hybrid_-40.wav,,,,,0,5,5,2,left,0.550468921661,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/03_pa_hybrid_-30.wav,,,,,0,6,6,3,left,0.418313980103,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/07_pa_hybrid_+10.wav,,,,,0,7,7,7,right,0.684126138687,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/06_pa_hybrid_+00.wav,,,,,0,8,8,6,right,0.633244991302,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/05_pa_hybrid_-10.wav,,,,,0,9,9,5,left,0.433356046677,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
stim/12_pa_hybrid_+60.wav,,,,,0,10,10,12,right,0.551167011261,2016_Feb_09_1256,60.1022839792,beat_2AFC,001,ma,
